pokedex_number,pokemon_name,type_1,type_2,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
17,Pidgeotto,Normal,Flying,Wings,1.1,30.0,24.8,63,60,55,50,50,71,349,58.17,7.47,120,1,70,122,Medium Slow,1059860,True,Pidgey,False,False,True,False,False,False,False,False,False,False,0.5,Bird ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Mega Pidgeot,Normal,Flying,Wings,2.2,50.5,10.4,83,80,80,135,80,121,579,96.5,22.66,45,6,70,261,Medium Slow,1059860,False,Pidgeotto,True,True,False,False,False,False,True,False,False,False,0.5,Bird ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Pidgeot,Normal,Flying,Wings,1.5,39.5,17.6,83,80,75,70,70,101,479,79.83,10.61,45,1,70,216,Medium Slow,1059860,False,Pidgeotto,True,False,True,False,False,False,True,False,False,False,0.5,Bird ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
19,Alolan Rattata,Dark,Normal,Quadruped,0.3,3.8,42.2,30,56,35,25,35,72,253,42.17,16.47,255,7,70,51,Medium Fast,1000000,True,,False,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
19,Rattata,Normal,,Quadruped,0.3,3.5,38.9,30,56,35,25,35,72,253,42.17,16.47,255,1,70,51,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20,Alolan Raticate,Dark,Normal,Quadruped,0.7,25.5,52.0,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,False,Rattata,True,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Alolan Raticate Totem,Dark,Normal,Quadruped,1.4,105.0,53.6,75,71,70,40,80,77,413,68.83,13.33,127,7,70,145,Medium Fast,1000000,False,Rattata,True,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Raticate,Normal,,Quadruped,0.7,18.5,37.8,55,81,60,50,70,97,413,68.83,16.16,127,1,70,145,Medium Fast,1000000,False,Rattata,True,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
21,Spearow,Normal,Flying,Wings,0.3,2.0,22.2,40,60,30,31,31,70,262,43.67,15.71,255,1,70,52,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Tiny Bird ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,Normal,Flying,Wings,1.2,38.0,26.4,65,90,65,61,61,100,442,73.67,15.45,90,1,70,155,Medium Fast,1000000,False,Spearow,True,False,True,False,False,False,False,False,False,False,0.5,Beak ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,Poison,,Squiggle,2.0,6.9,1.7,35,60,44,40,54,55,288,48.0,8.93,255,1,70,58,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Snake ,Field,Dragon,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,Poison,,Squiggle,3.5,65.0,5.3,60,95,69,65,79,80,448,74.67,11.56,90,1,70,157,Medium Fast,1000000,False,Ekans,True,False,True,False,False,False,False,False,False,False,0.5,Cobra ,Field,Dragon,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,1,70,112,Medium Fast,1000000,True,Pichu,False,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Alola Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Belle,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Cosplay,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Gmax,Electric,,Quadruped,21.0,10000.0,22.7,35,55,40,50,50,90,320,53.33,17.72,190,8,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Hoenn Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Kalos Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Libre,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Original Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Partner Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Phd,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Pop Star,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Rock Star,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,6,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Sinnoh Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
25,Pikachu Unova Cap,Electric,,Quadruped,0.4,6.0,37.5,35,55,40,50,50,90,320,53.33,17.72,190,7,70,112,Medium Fast,1000000,True,Pichu,False,False,False,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Alolan Raichu,Electric,Psychic,Upright,0.7,21.0,42.9,60,85,50,95,85,110,485,80.83,20.29,75,7,70,218,Medium Fast,1000000,False,Pikachu,True,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
26,Raichu,Electric,,Upright,0.8,30.0,46.9,60,90,55,90,80,110,485,80.83,18.8,75,1,70,218,Medium Fast,1000000,False,Pikachu,True,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,Fairy,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
27,Alolan Sandshrew,Ice,Steel,Upright,0.7,40.0,81.6,50,75,90,10,35,40,300,50.0,26.3,255,7,70,60,Medium Fast,1000000,True,,False,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
27,Sandshrew,Ground,,Upright,0.6,12.0,33.3,50,75,85,20,30,40,300,50.0,23.27,255,1,70,60,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
28,Alolan Sandslash,Ice,Steel,Upright,1.2,55.0,38.2,75,100,120,25,65,65,450,75.0,29.86,90,7,70,158,Medium Fast,1000000,False,Sandshrew,True,False,False,False,True,False,False,False,False,False,0.5,Mouse ,Field,,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
28,Sandslash,Ground,,Upright,1.0,29.5,29.5,75,100,110,45,55,65,450,75.0,23.27,90,1,70,158,Medium Fast,1000000,False,Sandshrew,True,False,True,False,False,False,False,False,False,False,0.5,Mouse ,Field,,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
29,Nidoran F,Poison,,Quadruped,0.4,7.0,43.8,55,47,52,40,40,41,275,45.83,5.98,235,1,70,55,Medium Slow,1059860,False,,False,False,True,False,False,False,False,False,False,False,1.0,Poison Pin ,Monster,Field,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,Poison,,Quadruped,0.8,20.0,31.3,70,62,67,55,55,56,365,60.83,5.98,120,1,70,128,Medium Slow,1059860,True,Nidoran F,False,False,True,False,False,False,False,False,False,False,1.0,Poison Pin ,Undiscovered,,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,Poison,Ground,Upright,1.3,60.0,35.5,90,92,87,75,85,76,505,84.17,6.52,45,1,70,227,Medium Slow,1059860,False,Nidorina,True,False,True,False,False,False,False,False,False,False,1.0,Drill ,Undiscovered,,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran M,Poison,,Quadruped,0.5,9.0,36.0,46,57,40,40,40,50,273,45.5,6.37,235,1,70,55,Medium Slow,1059860,False,,False,False,True,False,False,False,False,False,False,False,0.0,Poison Pin ,Monster,Field,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,Poison,,Quadruped,0.9,19.5,24.1,61,72,57,55,55,65,365,60.83,6.12,120,1,70,128,Medium Slow,1059860,True,Nidoran M,False,False,True,False,False,False,False,False,False,False,0.0,Poison Pin ,Monster,Field,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,Poison,Ground,Upright,1.4,62.0,31.6,81,102,77,85,75,85,505,84.17,8.8,45,1,70,227,Medium Slow,1059860,False,Nidorino,True,False,True,False,False,False,False,False,False,False,0.0,Drill ,Monster,Field,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,Fairy,,Upright,0.6,7.5,20.8,70,45,48,60,65,35,323,53.83,12.18,150,1,140,113,Fast,800000,True,Cleffa,False,False,True,False,False,False,False,False,False,False,0.75,Fairy ,Fairy,,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,Fairy,,Upright,1.3,40.0,23.7,95,70,73,95,90,60,483,80.5,13.52,25,1,140,217,Fast,800000,False,Clefairy,True,False,True,False,False,False,False,False,False,False,0.75,Fairy ,Fairy,,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Alolan Vulpix,Ice,,Quadruped,0.6,9.9,27.5,38,41,40,50,65,65,299,49.83,11.36,190,7,70,60,Medium Fast,1000000,True,,False,False,False,False,True,False,False,False,False,False,0.75,Fox ,Field,,20,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
37,Vulpix,Fire,,Quadruped,0.6,9.9,27.5,38,41,40,50,65,65,299,49.83,11.36,190,1,70,60,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.75,Fox ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
38,Alolan Ninetales,Ice,Fairy,Quadruped,1.1,19.9,16.4,73,67,75,81,100,109,505,84.17,15.17,75,7,70,177,Medium Fast,1000000,False,Vulpix,True,False,False,False,True,False,False,False,False,False,0.75,Fox ,Field,,20,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
