SRK_pok,pokemon_name,type_1,type_2,height,weight,hit_points,attack,defense,total_stats,capture_rate,generation,base_happiness,base_experience,exp_type,evolves_from,mega_evolution,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
14,Kakuna,Bug,Poison,0.6,10.0,45,25,50,205,120,1,70,72,Medium Fast,Weedle,False,False,False,False,False,False,False,0.5,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Beedrill,Bug,Poison,1.0,29.5,65,90,40,395,45,1,70,178,Medium Fast,Kakuna,False,False,False,True,False,False,False,0.5,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
16,Pidgey,Normal,Flying,0.3,1.8,40,45,40,251,255,1,70,50,Medium Slow, ,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
17,Pidgeotto,Normal,Flying,1.1,30.0,63,60,55,349,120,1,70,122,Medium Slow,Pidgey,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
18,Mega Pidgeot,Normal,Flying,2.2,50.5,83,80,80,579,45,6,70,261,Medium Slow,Pidgeotto,True,False,False,True,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
19,Alolan Rattata,Dark,Normal,0.3,3.8,30,56,35,253,255,7,70,51,Medium Fast, ,False,True,False,False,False,False,False,0.5,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
20,Alolan Raticate,Dark,Normal,0.7,25.5,75,71,70,413,127,7,70,145,Medium Fast,Rattata,False,True,False,False,False,False,False,0.5,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
21,Spearow,Normal,Flying,0.3,2.0,40,60,30,262,255,1,70,52,Medium Fast, ,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
22,Fearow,Normal,Flying,1.2,38.0,65,90,65,442,90,1,70,155,Medium Fast,Spearow,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
23,Ekans,Poison, ,2.0,6.9,35,60,44,288,255,1,70,58,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
24,Arbok,Poison, ,3.5,65.0,60,95,69,448,90,1,70,157,Medium Fast,Ekans,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
25,Pikachu,Electric, ,0.4,6.0,35,55,40,320,190,1,70,112,Medium Fast,Pichu,False,False,False,False,False,False,False,0.5,10,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,Alolan Raichu,Electric,Psychic,0.7,21.0,60,85,50,485,75,7,70,218,Medium Fast,Pikachu,False,True,False,False,False,False,False,0.5,10,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
27,Alolan Sandshrew,Ice,Steel,0.7,40.0,50,75,90,300,255,7,70,60,Medium Fast, ,False,True,False,False,False,False,False,0.5,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
28,Alolan Sandslash,Ice,Steel,1.2,55.0,75,100,120,450,90,7,70,158,Medium Fast,Sandshrew,False,True,False,False,False,False,False,0.5,20,0.5,4.0,1.0,1.0,0.5,0.25,4.0,0.0,2.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5
29,Nidoran F,Poison, ,0.4,7.0,55,47,52,275,235,1,70,55,Medium Slow, ,False,False,False,False,False,False,False,1.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
30,Nidorina,Poison, ,0.8,20.0,70,62,67,365,120,1,70,128,Medium Slow,Nidoran F,False,False,False,False,False,False,False,1.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
31,Nidoqueen,Poison,Ground,1.3,60.0,90,92,87,505,45,1,70,227,Medium Slow,Nidorina,False,False,False,False,False,False,False,1.0,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
32,Nidoran M,Poison, ,0.5,9.0,46,57,40,273,235,1,70,55,Medium Slow, ,False,False,False,False,False,False,False,0.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
33,Nidorino,Poison, ,0.9,19.5,61,72,57,365,120,1,70,128,Medium Slow,Nidoran M,False,False,False,False,False,False,False,0.0,20,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
34,Nidoking,Poison,Ground,1.4,62.0,81,102,77,505,45,1,70,227,Medium Slow,Nidorino,False,False,False,False,False,False,False,0.0,20,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5
35,Clefairy,Fairy, ,0.6,7.5,70,45,48,323,150,1,140,113,Fast,Cleffa,False,False,False,False,False,False,False,0.75,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
36,Clefable,Fairy, ,1.3,40.0,95,70,73,483,25,1,140,217,Fast,Clefairy,False,False,False,False,False,False,False,0.75,10,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
37,Alolan Vulpix,Ice, ,0.6,9.9,38,41,40,299,190,7,70,60,Medium Fast, ,False,True,False,False,False,False,False,0.75,20,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
38,Alolan Ninetales,Ice,Fairy,1.1,19.9,73,67,75,505,75,7,70,177,Medium Fast,Vulpix,False,True,False,False,False,False,False,0.75,20,1.0,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,0.5,4.0,1.0
39,Jigglypuff,Normal,Fairy,0.5,5.5,115,45,20,270,170,1,70,95,Fast,Igglybuff,False,False,False,False,False,False,False,0.75,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
40,Wigglytuff,Normal,Fairy,1.0,12.0,140,70,45,435,50,1,70,196,Fast,Jigglypuff,False,False,False,False,False,False,False,0.75,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
41,Zubat,Poison,Flying,0.8,7.5,40,45,35,245,255,1,70,49,Medium Fast, ,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
42,Golbat,Poison,Flying,1.6,55.0,75,80,70,455,90,1,70,159,Medium Fast,Zubat,False,False,False,False,False,False,False,0.5,15,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
43,Oddish,Grass,Poison,0.5,5.4,45,50,55,320,255,1,70,64,Medium Slow, ,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
44,Gloom,Grass,Poison,0.8,8.6,60,65,70,395,120,1,70,138,Medium Slow,Oddish,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
45,Vileplume,Grass,Poison,1.2,18.6,75,80,85,490,45,1,70,221,Medium Slow,Gloom,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
46,Paras,Bug,Grass,0.3,5.4,35,70,55,285,190,1,70,57,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,Bug,Grass,1.0,29.5,60,95,80,405,75,1,70,142,Medium Fast,Paras,False,False,False,False,False,False,False,0.5,20,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,Bug,Poison,1.0,30.0,60,55,50,305,190,1,70,61,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
49,Venomoth,Bug,Poison,1.5,12.5,70,65,60,450,75,1,70,158,Medium Fast,Venonat,False,False,False,False,False,False,False,0.5,20,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
50,Alolan Diglett,Ground,Steel,0.2,1.0,10,55,30,265,255,7,70,53,Medium Fast, ,False,True,False,False,False,False,False,0.5,20,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
51,Alolan Dugtrio,Ground,Steel,0.7,66.6,35,100,60,425,50,7,70,149,Medium Fast,Diglett,False,True,False,False,False,False,False,0.5,20,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
52,Alolan Meowth,Dark, ,0.4,4.2,40,35,35,290,255,7,70,58,Medium Fast, ,False,True,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
53,Alolan Persian,Dark, ,1.1,33.0,65,60,60,440,90,7,70,154,Medium Fast,Meowth,False,True,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
54,Psyduck,Water, ,0.8,19.6,50,52,48,320,190,1,70,64,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
55,Golduck,Water, ,1.7,76.6,80,82,78,500,75,1,70,175,Medium Fast,Psyduck,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
56,Mankey,Fighting, ,0.5,28.0,40,80,35,305,190,1,70,61,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
57,Primeape,Fighting, ,1.0,32.0,65,105,60,455,75,1,70,159,Medium Fast,Mankey,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
58,Growlithe,Fire, ,0.7,19.0,55,70,45,350,190,1,70,70,Slow, ,False,False,False,False,False,False,False,0.25,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
59,Arcanine,Fire, ,1.9,155.0,90,110,80,555,75,1,70,194,Slow,Growlithe,False,False,False,False,False,False,False,0.25,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
60,Poliwag,Water, ,0.6,12.4,40,50,40,300,255,1,70,60,Medium Slow, ,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
61,Poliwhirl,Water, ,1.0,20.0,65,65,65,385,120,1,70,135,Medium Slow,Poliwag,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
62,Poliwrath,Water,Fighting,1.3,54.0,90,95,95,510,45,1,70,230,Medium Slow,Poliwhirl,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
63,Abra,Psychic, ,0.9,19.5,25,20,15,310,200,1,70,62,Medium Slow, ,False,False,False,False,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
64,Kadabra,Psychic, ,1.3,56.5,40,35,30,400,100,1,70,140,Medium Slow,Abra,False,False,False,False,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
65,Alakazam,Psychic, ,1.5,48.0,55,50,45,500,50,1,70,225,Medium Slow,Kadabra,False,False,False,True,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
66,Machop,Fighting, ,0.8,19.5,70,80,50,305,180,1,70,61,Medium Slow, ,False,False,False,False,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
67,Machoke,Fighting, ,1.5,70.5,80,100,70,405,90,1,70,142,Medium Slow,Machop,False,False,False,False,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
68,Machamp,Fighting, ,1.6,130.0,90,130,80,505,45,1,70,227,Medium Slow,Machoke,False,False,False,False,False,False,False,0.25,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
69,Bellsprout,Grass,Poison,0.7,4.0,50,75,35,300,255,1,70,60,Medium Slow, ,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
70,Weepinbell,Grass,Poison,1.0,6.4,65,90,50,390,120,1,70,137,Medium Slow,Bellsprout,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
71,Victreebel,Grass,Poison,1.7,15.5,80,105,65,490,45,1,70,221,Medium Slow,Weepinbell,False,False,False,False,False,False,False,0.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
72,Tentacool,Water,Poison,0.9,45.5,40,40,35,335,190,1,70,67,Slow, ,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
73,Tentacruel,Water,Poison,1.6,55.0,80,70,65,515,60,1,70,180,Slow,Tentacool,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
74,Alolan Geodude,Rock,Electric,0.4,20.3,40,80,100,300,255,7,70,60,Medium Slow, ,False,True,False,False,False,False,False,0.5,15,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Alolan Graveler,Rock,Electric,1.0,110.0,55,95,115,390,120,7,70,137,Medium Slow,Geodude,False,True,False,False,False,False,False,0.5,15,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,Alolan Golem,Rock,Electric,1.7,316.0,80,120,130,495,45,7,70,223,Medium Slow,Graveler,False,True,False,False,False,False,False,0.5,15,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,4.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,Galarian Ponyta,Psychic, ,0.8,24.0,50,85,55,410,190,8,70,82,Medium Fast, ,False,False,True,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
78,Galarian Rapidash,Psychic,Fairy,1.7,80.0,65,100,70,500,60,8,70,175,Medium Fast,Ponyta,False,False,True,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
79,Galarian Slowpoke,Psychic, ,1.2,36.0,90,65,65,315,190,8,70,63,Medium Fast, ,False,False,True,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
80,Galarian Slowbro,Poison,Psychic,1.6,70.5,95,100,95,490,75,8,70,172,Medium Fast,Slowpoke,False,False,True,True,False,False,False,0.5,20,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5
81,Magnemite,Electric,Steel,0.3,6.0,25,35,70,325,190,1,70,65,Medium Fast, ,False,False,False,False,False,False,True,0.0,20,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
82,Magneton,Electric,Steel,1.0,60.0,50,60,95,465,60,1,70,163,Medium Fast,Magnemite,False,False,False,False,False,False,True,0.0,20,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5
83,Farfetch'd,Normal,Flying,0.8,15.0,52,90,55,377,45,1,70,132,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
84,Doduo,Normal,Flying,1.4,39.2,35,85,45,310,190,1,70,62,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
85,Dodrio,Normal,Flying,1.8,85.2,60,110,70,470,45,1,70,165,Medium Fast,Doduo,False,False,False,False,False,False,False,0.5,20,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
86,Seel,Water, ,1.1,90.0,65,45,55,325,190,1,70,65,Medium Fast, ,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
87,Dewgong,Water,Ice,1.7,120.0,90,70,80,475,75,1,70,166,Medium Fast,Seel,False,False,False,False,False,False,False,0.5,20,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
88,Alolan Grimer,Poison,Dark,0.7,42.0,80,80,50,325,190,7,70,65,Medium Fast, ,False,True,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
89,Alolan Muk,Poison,Dark,1.0,52.0,105,105,75,500,75,7,70,175,Medium Fast,Grimer,False,True,False,False,False,False,False,0.5,20,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,0.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
90,Shellder,Water, ,0.3,4.0,30,65,100,305,190,1,70,61,Slow, ,False,False,False,False,False,False,False,0.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
91,Cloyster,Water,Ice,1.5,132.5,50,95,180,525,60,1,70,184,Slow,Shellder,False,False,False,False,False,False,False,0.5,20,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
92,Gastly,Ghost,Poison,1.3,0.1,30,35,30,310,190,1,70,62,Medium Slow, ,False,False,False,False,False,False,False,0.5,20,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
93,Haunter,Ghost,Poison,1.6,0.1,45,50,45,405,90,1,70,142,Medium Slow,Gastly,False,False,False,False,False,False,False,0.5,20,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
94,Gengar,Ghost,Poison,1.5,40.5,60,65,60,500,45,1,70,225,Medium Slow,Haunter,False,False,False,True,False,False,False,0.5,20,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
